hipot,plan_pensiones,fondo_inversion,acciones,renta_fija,prest_pers,tarj_cred,cta_ahorro/depos_pzo,seg_vida,seg_med,cripto,ID,year,age_bracket,edu_level,labor_categ
0,0,0,0,0,0,0,0,0,0,0,2016_1,2016,18-34,Secondary,Otros inactivos
1,0,0,0,0,0,0,0,0,0,0,2016_2,2016,18-34,University,Asalariado
0,0,0,0,0,0,0,0,0,0,0,2016_3,2016,45-54,Primary,Otros inactivos
0,0,0,0,0,0,0,1,0,0,0,2016_4,2016,45-54,Primary,Otros inactivos
0,0,0,0,0,0,0,0,0,0,0,2016_5,2016,55-64,Primary,Jubilado
0,0,0,0,0,0,0,0,0,0,0,2016_6,2016,35-44,University,Asalariado
0,0,0,0,0,0,0,0,0,0,0,2016_7,2016,45-54,Primary,Autónomo
0,0,0,0,0,0,0,0,0,0,0,2016_8,2016,55-64,Secondary,Asalariado
0,0,0,0,0,0,0,0,0,0,0,2016_9,2016,65-79,Primary,Jubilado
1,0,0,0,0,1,1,0,0,0,0,2016_10,2016,18-34,University,Asalariado
0,0,0,0,0,0,0,0,0,0,0,2016_11,2016,35-44,University,Asalariado
0,0,0,0,0,0,0,0,0,0,0,2016_12,2016,45-54,Primary,Desempleado
0,0,0,0,0,0,0,0,0,0,0,2016_13,2016,18-34,Primary,Desempleado
0,0,0,0,0,0,1,0,0,0,0,2016_14,2016,45-54,Primary,Asalariado
0,0,0,0,0,0,0,0,0,0,0,2016_15,2016,45-54,Primary,Asalariado
0,1,0,0,0,0,1,1,0,0,0,2016_16,2016,55-64,University,Autónomo
0,0,0,0,0,0,0,0,0,0,0,2016_17,2016,65-79,Primary,Otros inactivos
0,0,0,0,0,0,1,0,0,0,0,2016_18,2016,18-34,Primary,Desempleado
1,0,1,0,0,0,0,0,1,0,0,2016_19,2016,45-54,University,Asalariado
0,0,0,0,0,0,0,0,0,0,0,2016_20,2016,65-79,Primary,Jubilado
0,0,0,0,0,0,1,0,0,0,0,2016_21,2016,18-34,Primary,Desempleado
0,0,0,0,0,0,0,0,0,0,0,2016_22,2016,45-54,Primary,Asalariado
0,0,1,0,0,1,1,1,0,0,0,2016_23,2016,45-54,University,Asalariado
0,0,0,0,0,0,0,0,0,1,0,2016_24,2016,55-64,Primary,Autónomo
0,0,0,0,0,0,0,0,0,0,0,2016_25,2016,18-34,University,Asalariado
0,0,0,0,0,1,0,0,0,0,0,2016_26,2016,35-44,University,Asalariado
0,0,0,0,0,1,0,0,0,0,0,2016_27,2016,45-54,Secondary,Desempleado
0,0,0,0,0,0,0,0,0,0,0,2016_28,2016,45-54,Primary,Otros inactivos
0,0,0,0,0,0,0,0,0,0,0,2016_29,2016,18-34,Primary,Desempleado
1,0,0,0,0,0,0,0,0,0,0,2016_30,2016,45-54,Primary,Asalariado
0,0,0,0,0,1,1,0,1,0,0,2016_31,2016,45-54,Primary,Desempleado
0,0,0,0,0,0,0,0,0,0,0,2016_32,2016,55-64,Primary,Otros inactivos
0,0,0,0,0,0,0,0,0,0,0,2016_33,2016,35-44,University,Autónomo
0,0,0,0,0,1,1,0,1,0,0,2016_34,2016,45-54,Secondary,Autónomo
0,0,1,0,0,0,0,0,0,0,0,2016_35,2016,65-79,Primary,Jubilado
0,0,0,0,0,1,0,1,0,0,0,2016_36,2016,35-44,Primary,Autónomo
0,0,0,0,0,0,0,0,0,0,0,2016_37,2016,45-54,University,Desempleado
0,0,0,0,0,0,0,0,0,0,0,2016_38,2016,55-64,Primary,Autónomo
0,0,0,0,0,0,0,0,0,0,0,2016_39,2016,18-34,Secondary,Asalariado
0,0,0,0,0,1,0,0,1,0,0,2016_40,2016,35-44,University,Autónomo
0,0,0,0,0,0,0,0,0,0,0,2016_41,2016,45-54,University,Desempleado
0,0,0,0,0,0,0,0,0,0,0,2016_42,2016,18-34,University,Asalariado
0,0,0,0,0,0,0,0,0,0,0,2016_43,2016,45-54,Primary,Desempleado
